ticker,volume_medio,nome
ABT,27359859.43,Abbott Laboratories
IP,22015059.99,International Paper
PGR,13115179.73,Progressive Corporation
ICE,13072715.16,Intercontinental Exchange
WM,7861836.41,Waste Management
CTAS,7696513.85,Cintas Corporation
INTU,7554798.17,Intuit
SYK,6472652.68,Stryker Corporation
SPGI,6144994.72,S&P Global
RSG,5758813.48,Republic Services
PNW,5034870.37,Pinnacle West Capital
VRSK,4479344.97,Verisk Analytics
VRSN,3278735.31,Verisign
BR,2659701.95,Broadridge Financial Solutions
TYL,1256046.4,Tyler Technologies
